UID,SubsetNumber
704-909-819,1
106-332-601,2
605-101-741,3
506-313-889,4
706-332-877,5
305-975-150,6
205-849-510,7
006-332-140,8
606-332-825,9
606-332-316,10
406-328-914,11
605-466-868,12
706-332-410,13
306-332-935,14
905-789-961,15
506-333-118,16
306-329-221,17
205-111-921,18
006-333-111,19
406-332-826,20
506-329-423,21
006-332-461,22
506-333-161,23
206-328-707,24
905-410-554,25
206-331-941,26
606-332-081,27
606-333-325,28
806-332-971,29
605-215-605,30
206-333-110,31
806-329-681,32
106-333-097,33
506-333-057,34
606-333-052,35
906-333-116,36
906-332-701,37
206-333-054,38
006-329-067,39
606-328-772,40
106-332-516,41
000-531-122,42
005-359-531,43
106-333-115,44
306-304-353,45
406-325-557,46
406-294-773,47
106-332-875,48
006-332-277,49
606-332-401,50
506-332-270,51
406-333-114,52
206-332-988,53
806-329-308,54
206-333-129,55
106-329-279,56
406-333-053,57
106-332-093,58
306-317-261,59
606-331-859,60
206-305-918,61
606-332-255,62
206-294-444,63
306-332-515,64
906-333-055,65
006-332-480,66
806-332-400,67
806-318-159,68
406-328-706,69
006-332-753,70
505-557-133,71
906-328-997,72
